id,original_id,original_tweet_time,retweet_time,user,user_join_date,user_followers_count,user_id,text
1254022435789291520,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:21 +0000 2020,Unfollow_Donald,Thu Jan 26 00:11:09 +0000 2017,244,824409302769303552,RT @realDonaldTrump: .@TripleH is a total winner! https://t.co/KsTHMEKeqx
1254022435814473728,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:21 +0000 2020,idontdonald,Fri Jan 27 04:35:34 +0000 2017,45,824838233762697216,RT @realDonaldTrump: .@TripleH is a total winner! https://t.co/KsTHMEKeqx
1254022435894067207,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:21 +0000 2020,important_trump,Mon Jan 08 18:02:15 +0000 2018,34,950427444053528578,RT @realDonaldTrump: .@TripleH is a total winner! https://t.co/KsTHMEKeqx
1254022471214403584,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:30 +0000 2020,orlandomicki,Thu Feb 18 14:57:29 +0000 2010,4199,115400791,RT @realDonaldTrump: .@TripleH is a total winner! https://t.co/KsTHMEKeqx
1254022484808159235,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:33 +0000 2020,jppeak,Wed Dec 12 22:54:13 +0000 2012,2733,1007495678,RT @realDonaldTrump: .@TripleH is a total winner!
1254022494039666688,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:35 +0000 2020,Prem10008,Thu Oct 24 04:17:52 +0000 2013,333,2152216490,RT @realDonaldTrump: .@TripleH is a total winner! https://t.co/KsTHMEKeqx
1254022518438080515,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:41 +0000 2020,Realdadof6,Sat Dec 23 00:01:09 +0000 2017,53277,944357170988142592,RT @realDonaldTrump: .@TripleH is a total winner!
1254022523479642112,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:42 +0000 2020,GREW441,Thu Jul 26 11:25:33 +0000 2018,2965,1022442794277851139,RT @realDonaldTrump: .@TripleH is a total winner!
1254022524427476992,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:43 +0000 2020,teddylikestrump,Thu Nov 25 15:28:51 +0000 2010,1140,219682475,RT @realDonaldTrump: .@TripleH is a total winner! https://t.co/KsTHMEKeqx
1254022531834658816,1254022414058631170,Sat Apr 25 12:20:16 +0000 2020,Sat Apr 25 12:20:44 +0000 2020,jorgelopes2,Wed Apr 20 14:24:46 +0000 2011,2107,285092411,RT @realDonaldTrump: .@TripleH is a total winner! https://t.co/KsTHMEKeqx
