id,original_id,original_tweet_time,retweet_time,user,user_join_date,user_followers_count,user_id,text
1264741330137288705,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:25 +0000 2020,Unfollow_Donald,Thu Jan 26 00:11:09 +0000 2017,248,824409302769303552,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741330355474432,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:25 +0000 2020,idontdonald,Fri Jan 27 04:35:34 +0000 2017,45,824838233762697216,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741335543754752,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:26 +0000 2020,observingeye111,Tue May 12 02:29:26 +0000 2020,27,1260034265837785093,"RT @realDonaldTrump: Among many other very important events, meetings, and calls!"
1264741346876801039,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:29 +0000 2020,chrisc51205,Fri Aug 18 21:07:44 +0000 2017,6105,898652658516578304,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741365289750528,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:33 +0000 2020,KC4TVZ,Thu May 28 17:00:34 +0000 2009,1012,43148606,"RT @realDonaldTrump: Among many other very important events, meetings, and calls!"
1264741370503335937,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:35 +0000 2020,orlandomicki,Thu Feb 18 14:57:29 +0000 2010,4216,115400791,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741373598502913,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:35 +0000 2020,Patrici85575192,Wed Nov 16 16:10:17 +0000 2016,153,798921138319409153,"RT @realDonaldTrump: Among many other very important events, meetings, and calls!"
1264741376647979012,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:36 +0000 2020,Anon49459700,Sat Jul 13 23:51:47 +0000 2019,709,1150191121978593290,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741387771117568,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:39 +0000 2020,GodfreyHodgeson,Mon Nov 11 05:02:39 +0000 2019,711,1193755676054454272,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741404284084225,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:43 +0000 2020,CROWHOLLOW1,Mon Feb 01 15:06:09 +0000 2016,641,4869504430,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741406586933248,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:43 +0000 2020,sangrerayada,Wed Aug 25 01:48:47 +0000 2010,3557,182638920,"RT @realDonaldTrump: Among many other very important events, meetings, and calls!"
1264741409510158337,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:44 +0000 2020,liberty_truth_,Tue Feb 13 04:54:19 +0000 2018,754,963275115700957184,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741414774194177,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:45 +0000 2020,ahernandez85b,Thu Feb 02 21:51:23 +0000 2017,4991,827273232801632257,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741418255265792,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:46 +0000 2020,No_Muzzle_4_Raf,Sat Jul 01 21:24:36 +0000 2017,381,881262282826596352,"RT @realDonaldTrump: Among many other very important events, meetings, and calls!"
1264741422282018819,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:47 +0000 2020,DregNationalist,Wed Jan 09 07:21:04 +0000 2013,15873,1073068214,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741432113475585,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:49 +0000 2020,aintwesomething,Thu Mar 23 19:04:17 +0000 2017,6464,844988187873333248,"RT @realDonaldTrump: Among many other very important events, meetings, and calls!"
1264741432352358401,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:49 +0000 2020,KRaZiKiLLeTTe,Tue Dec 21 05:53:42 +0000 2010,5630,228979057,"RT @realDonaldTrump: Among many other very important events, meetings, and calls!"
1264741433061195777,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:50 +0000 2020,Lookupcolorado2,Sun Jan 24 03:57:10 +0000 2016,5269,4805891677,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
1264741433258491904,1264741308440158213,Mon May 25 02:13:20 +0000 2020,Mon May 25 02:13:50 +0000 2020,TRUMPUSAMAGAKAG,Wed Oct 14 00:02:44 +0000 2015,10961,3951007438,"RT @realDonaldTrump: Among many other very important events, meetings, and calls! https://t.co/0yNFtFpXpv"
