id,original_id,original_tweet_time,retweet_time,user,user_join_date,user_followers_count,user_id,text
1254048863624867842,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:22 +0000 2020,cdinicol,Thu Sep 11 05:09:45 +0000 2014,2358,2766931174,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048868033069057,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:23 +0000 2020,sunnyc45,Thu May 25 13:53:28 +0000 2017,8081,867740400206925824,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048883078049795,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:27 +0000 2020,JoeBaldi63,Sat Jul 22 21:48:43 +0000 2017,3740,888878499414585344,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048886261338113,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:28 +0000 2020,realSheelagh,Mon Oct 17 05:21:09 +0000 2011,896,392525028,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048889621151748,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:29 +0000 2020,RonnieDeRunner,Fri Nov 24 17:42:12 +0000 2017,157,934114943913398272,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048904598913024,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:32 +0000 2020,MaryRod94786770,Thu Dec 08 01:03:53 +0000 2016,1849,806665567130238976,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048928087060481,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:38 +0000 2020,PamelaForde6,Sun Apr 05 14:33:09 +0000 2020,4,1246808008899866626,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048944327233545,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:42 +0000 2020,JackAttaq17,Thu Jun 14 06:41:34 +0000 2018,3811,1007151039772934145,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048948056199168,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:42 +0000 2020,TamaleDude,Tue Nov 28 18:08:37 +0000 2017,1179,935571142420717568,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048951973695488,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:43 +0000 2020,jj19700202,Thu Aug 17 15:54:03 +0000 2017,34,898211328220962818,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048981501558784,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:50 +0000 2020,d_mcgilvray,Fri Mar 13 18:46:44 +0000 2020,97,1238536930968682496,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048986249510912,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:52 +0000 2020,SS3712144,Tue Dec 26 02:27:29 +0000 2017,95,945481160154648582,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048988229242881,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:52 +0000 2020,MRT47001,Tue Jul 22 16:33:43 +0000 2014,39,2669925085,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048988606726150,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:52 +0000 2020,RamonaDear,Tue Aug 23 18:53:19 +0000 2011,676,360771828,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048989726588932,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:52 +0000 2020,firebird7523,Tue Feb 23 22:48:06 +0000 2010,2614,116898050,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
